PROJECT_ID,TITLE,DONOR_IATI_CODE,DONOR,COUNTRY_IATI_CODE,COUNTRY,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,LATITUDE,LONGITUDE,GEONAME_ID,GEONAME,PRECISION_CODE,LOCATION_TYPE,SOURCE_URL,SOURCE,INTERNAL_NOTES,LOCATION_ACTIVITY_DESCRIPTION,,,,
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2364,Region VIII (Eastern Visayas),24257,Eastern Samar,11.98333,125.35,1719396,Can-Avid,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2361,Region V (Bicol region),24241,Camarines Norte,14.23333,122.48333,1718763,Capalonga,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2364,Region VIII (Eastern Visayas),24258,Leyte,11.25,124.58333,1718622,Capoocan,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2362,Region VI (Western Visayas),24250,Iloilo,11.53333,123.25,1718363,Carles,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2363,Region VII (Central Visayas),24253,Cebu,10.58333,123.96667,1718340,Carmen,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2368,Region XIII (Caraga),24278,Surigao Del Sur,9.2,125.96667,1718342,Carmen,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2362,Region VI (Western Visayas),24251,Negros Occidental,9.9,122.55,1717741,Cauayan,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2361,Region V (Bicol region),24244,Masbate,12.86667,123.25,1717354,Claveria,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67162,Region XII (Soccsksargen),24274,Sultan Kudarat,6.68333,125.01667,1717104,Columbio,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67161,Region XI (Davao Region),24266,Compostela,7.6,125.95,8643283,Compostela Valley,3,second-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,List of locations found beginning on page. 2,, , , , 
